@relation delta_ail
@attribute RollRate real [-0.0208, 0.0177]
@attribute PitchRate real [-0.0077, 0.0108]
@attribute currPitch real [-0.0060, 0.041]
@attribute currRoll real [-0.05, 0.051]
@attribute diffRollRate real [-0.0015, 8.2E-4]
@attribute Sa real [-0.0021, 0.0022]
@inputs RollRate, PitchRate, currPitch, currRoll, diffRollRate
@outputs Sa
@data
0.0054, 0.0027, 0.017, -0.022, 1.4E-4, -1.0E-4
0.0041, 0.0012, 0.013, -0.011, 5.0E-5, 1.0E-4
0.0058, 0.0012, 0.014, 0.0020, 4.0E-5, -1.0E-4
-0.0067, 1.0E-4, 0.012, 0.0040, -1.1E-4, 2.0E-4
0.0042, 0.0027, 0.0080, -0.0070, 9.0E-5, -2.0E-4
0.0059, 0.0017, 0.0050, 0.013, 4.0E-5, -2.0E-4
-0.0054, 7.0E-4, 0.017, 0.015, -1.1E-4, 1.0E-4
0.0043, -4.0E-4, 0.0070, -0.0060, 1.3E-4, -2.0E-4
-0.0051, 0.0014, 0.011, -0.014, -3.0E-5, 2.0E-4
0.0048, 0.0012, 0.011, 0.011, -1.7E-4, 1.0E-4
-0.0065, 0.0022, 0.014, 0.0050, -1.7E-4, 1.0E-4
-0.0047, -1.0E-4, 0.012, -0.028, 2.4E-4, 1.0E-4
0.0057, -1.0E-4, 0.0070, -0.026, 2.2E-4, -1.0E-4
0.0088, 1.0E-4, 0.0040, -0.0040, 3.0E-5, -1.0E-4
-0.0045, 5.0E-4, 0.011, -0.011, -5.0E-5, 1.0E-4
0.0080, 0.0011, 0.01, -0.0050, 8.0E-5, -1.0E-4
-0.0052, 9.0E-4, 0.013, 0.023, -2.9E-4, 2.0E-4
0.0045, 0.0019, 0.0, -0.0060, 1.1E-4, -2.0E-4
-0.0040, 0.0015, 0.0090, -0.01, -1.0E-5, 1.0E-4
-0.0078, 0.0020, 0.01, 0.0020, -2.2E-4, 3.0E-4
0.0045, 3.0E-4, 0.0050, -0.024, 2.2E-4, -1.0E-4
0.0055, 0.0025, 0.0050, -0.0020, 3.0E-5, -2.0E-4
-0.0052, 6.0E-4, 0.011, -0.013, 1.8E-4, 1.0E-4
-0.0077, 0.0, 0.015, 0.0070, -8.0E-5, 2.0E-4
-0.0037, 0.0016, 0.015, 0.0, -1.1E-4, 1.0E-4
0.0063, 0.0017, 0.013, 0.012, 1.0E-5, -1.0E-4
0.0035, -2.0E-4, 0.012, -0.0090, 1.7E-4, -2.0E-4
-0.0039, 0.0015, 0.0080, -0.011, 0.0, 1.0E-4
-0.0056, 0.0017, 0.016, 0.0040, -4.0E-5, 1.0E-4
-0.0075, -1.0E-4, 0.01, -0.013, 4.0E-5, 1.0E-4
