@relation delta_ail
@attribute RollRate real [-0.0208, 0.0177]
@attribute PitchRate real [-0.0077, 0.0108]
@attribute currPitch real [-0.0060, 0.041]
@attribute currRoll real [-0.05, 0.051]
@attribute diffRollRate real [-0.0015, 8.2E-4]
@attribute Sa real [-0.0021, 0.0022]
@inputs RollRate, PitchRate, currPitch, currRoll, diffRollRate
@outputs Sa
@data
0.0046, 1.0E-4, 0.011, 0.015, -9.0E-5, -2.0E-4
-0.0038, 8.0E-4, 0.015, -0.014, 1.0E-5, 1.0E-4
-0.0033, 4.0E-4, 0.013, -0.013, 0.0, 1.0E-4
0.0047, -2.0E-4, 0.0030, 0.0050, 1.4E-4, -1.0E-4
-0.0061, 8.0E-4, 0.017, 0.0050, -2.0E-5, 1.0E-4
-0.0067, 1.0E-4, 0.0090, 0.0060, -1.4E-4, 2.0E-4
0.0031, 0.0019, 0.0080, 0.01, -1.1E-4, -2.0E-4
-0.0088, 0.0016, 0.014, -0.0090, -1.0E-4, 3.0E-4
-0.0074, 0.0014, 0.011, 0.0060, -1.0E-4, 1.0E-4
-0.0035, -5.0E-4, 0.017, -0.012, 1.2E-4, 1.0E-4
-0.0038, -8.0E-4, 0.0070, -0.01, 1.2E-4, 1.0E-4
-0.0053, 4.0E-4, 0.01, -0.01, 7.0E-5, 1.0E-4
0.0065, 2.0E-4, 0.0040, -0.014, 1.8E-4, -1.0E-4
0.0048, -9.0E-4, 0.01, -0.0070, 1.8E-4, -3.0E-4
0.0077, 5.0E-4, 0.0030, -0.0070, 4.0E-5, -1.0E-4
-0.0051, 7.0E-4, 0.0080, -0.01, 7.0E-5, 1.0E-4
0.0068, 6.0E-4, 0.0040, 0.0040, 7.0E-5, -1.0E-4
0.0065, 5.0E-4, 0.0090, -0.0080, 1.6E-4, -1.0E-4
-0.0036, 0.0016, 0.016, -0.01, 3.0E-5, 2.0E-4
0.0021, 0.0033, 0.019, 0.01, -1.4E-4, -1.0E-4
0.0047, -9.0E-4, 0.01, -0.0060, 2.7E-4, -2.0E-4
0.0021, 0.0, 0.011, 0.046, -2.0E-4, -1.0E-4
0.0042, 9.0E-4, 0.015, 0.031, -8.0E-5, -1.0E-4
-0.0042, 0.0035, 0.016, -0.0070, -1.7E-4, 1.0E-4
0.0052, -0.0016, 0.0020, -0.0090, 5.0E-5, 1.0E-4
0.0069, 0.0023, 0.0050, 0.0050, 6.0E-5, -2.0E-4
0.0059, 4.0E-4, 0.0090, 0.015, -2.0E-5, -1.0E-4
-0.0018, 8.0E-4, 0.0020, -0.01, 1.4E-4, 1.0E-4
-0.0049, -0.0011, 0.0090, 0.022, -1.4E-4, 3.0E-4
0.0070, -6.0E-4, 0.0070, -0.0050, 1.3E-4, -1.0E-4
-0.0059, 0.0057, 0.0050, 0.0050, -1.5E-4, 2.0E-4
0.0046, 1.0E-4, 0.016, -0.013, 2.9E-4, 1.0E-4
-0.0066, -5.0E-4, 0.01, 0.0070, -3.0E-5, 2.0E-4
-0.0022, 0.0031, 0.0060, -0.011, -4.0E-5, 2.0E-4
-0.0075, -0.0016, 0.0070, 0.014, -2.0E-4, 3.0E-4
-0.0075, -0.0011, 0.0060, 0.041, -5.1E-4, 4.0E-4
-0.0067, -0.0015, 0.011, 0.018, -2.2E-4, 3.0E-4
-0.0089, 0.0049, 0.012, 0.0090, -2.5E-4, 2.0E-4
0.0070, -6.0E-4, 0.012, -0.014, 3.2E-4, -1.0E-4
0.0105, -2.0E-4, 0.0090, 0.023, -3.0E-5, -3.0E-4
0.0011, -0.0013, 0.0030, 0.044, -3.5E-4, -3.0E-4
0.0034, -7.0E-4, 0.0090, -0.0070, 3.0E-5, -2.0E-4
0.0029, -9.0E-4, -0.0010, -0.0080, 2.8E-4, -1.0E-4
-0.0075, 0.0026, 0.014, 0.019, -1.5E-4, 3.0E-4
0.0055, 0.0020, 0.019, -0.013, 1.4E-4, -1.0E-4
0.0076, 0.0020, 0.0040, -0.0070, 9.0E-5, -1.0E-4
-0.0043, -6.0E-4, 0.0090, 0.018, -1.2E-4, 2.0E-4
0.0041, -0.0037, -0.0010, 0.01, 1.7E-4, -1.0E-4
0.0030, 0.0037, 0.0070, 0.031, -1.4E-4, -1.0E-4
-0.0039, -3.0E-4, 0.012, 0.023, -5.0E-5, 1.0E-4
0.0028, -0.0018, 0.017, 0.011, 1.0E-5, -1.0E-4
-0.0037, -6.0E-4, 0.0070, 0.0050, -4.0E-5, 2.0E-4
