@relation delta_ail
@attribute RollRate real [-0.0208, 0.0177]
@attribute PitchRate real [-0.0077, 0.0108]
@attribute currPitch real [-0.0060, 0.041]
@attribute currRoll real [-0.05, 0.051]
@attribute diffRollRate real [-0.0015, 8.2E-4]
@attribute Sa real [-0.0021, 0.0022]
@inputs RollRate, PitchRate, currPitch, currRoll, diffRollRate
@outputs Sa
@data
0.0059, -6.0E-4, 0.014, -0.0050, 1.7E-4, -2.0E-4
-0.0073, 0.0013, 0.01, -0.013, 6.0E-5, 1.0E-4
0.0053, 7.0E-4, 0.0050, -0.0020, 4.0E-5, -1.0E-4
-0.0068, -8.0E-4, 0.011, -0.01, 1.0E-4, 2.0E-4
0.0067, 0.0020, 0.0030, -0.0040, 8.0E-5, -1.0E-4
0.0044, 0.0023, 0.0070, 0.011, -1.3E-4, -2.0E-4
0.0068, 0.0013, 0.0060, 0.013, -1.4E-4, -1.0E-4
0.0022, 0.0014, 0.01, 0.01, -1.0E-4, -1.0E-4
-0.0034, 0.0016, 0.013, 0.0080, -1.3E-4, 2.0E-4
-0.0046, 0.0026, 0.018, 0.015, -1.6E-4, 1.0E-4
-0.0022, 0.0020, 0.0010, -0.01, -2.0E-5, 1.0E-4
-3.0E-4, 5.0E-4, 0.012, 0.027, -1.3E-4, -1.0E-4
-0.0051, 7.0E-4, 0.0060, -0.01, 7.0E-5, 2.0E-4
0.0040, 4.0E-4, 0.01, -0.0080, 1.7E-4, -2.0E-4
-7.0E-4, 6.0E-4, 0.01, -0.01, 1.0E-4, 1.0E-4
0.0080, 0.0029, 0.011, 0.0050, 3.0E-5, -1.0E-4
-0.0112, 4.0E-4, 0.02, -0.0090, -1.1E-4, 6.0E-4
0.0045, 4.0E-4, 0.012, 0.01, -9.0E-5, -3.0E-4
-0.0048, 3.0E-4, 0.016, 0.011, -2.8E-4, 5.0E-4
0.0051, 0.0018, 0.01, -0.0050, 1.0E-4, -2.0E-4
-0.0054, -3.0E-4, 0.017, 0.0050, -2.3E-4, 4.0E-4
0.0071, -2.0E-4, 0.013, 0.033, -9.0E-5, -1.0E-4
0.0045, 0.0022, 0.01, -0.0040, 2.0E-4, -1.0E-4
-0.0043, 6.0E-4, 0.01, -0.0020, -6.0E-5, 1.0E-4
0.0035, 0.0017, 0.011, 0.012, -5.0E-5, -1.0E-4
-0.0036, 7.0E-4, 0.01, 0.021, -1.6E-4, -1.0E-4
-0.0066, -5.0E-4, 0.0080, 0.012, -1.5E-4, 3.0E-4
0.0023, -8.0E-4, 0.0010, 0.011, 1.5E-4, -2.0E-4
-0.0042, 7.0E-4, 0.0090, -0.03, 1.8E-4, 1.0E-4
0.0104, 0.0043, 0.014, -0.0030, 1.1E-4, -2.0E-4
-0.0026, -0.0014, 0.0050, -0.011, 3.0E-5, 1.0E-4
-0.0082, 0.0, 0.0090, -0.03, 2.1E-4, 3.0E-4
0.0101, -5.0E-4, 0.011, 0.0, 1.4E-4, -1.0E-4
0.0066, -9.0E-4, 0.0070, 0.012, -5.0E-5, -3.0E-4
-0.0045, 0.0025, 0.019, 0.018, -2.2E-4, 3.0E-4
-0.0031, 0.0015, 0.011, -0.012, 0.0, 1.0E-4
0.0049, 0.0011, 0.01, -0.024, 2.1E-4, -2.0E-4
0.0053, -0.0011, 0.016, 0.013, 1.0E-5, -1.0E-4
-0.0111, 0.0012, 0.0020, -0.017, -4.0E-5, 2.0E-4
-0.0048, 0.0018, 0.0060, -0.047, 2.8E-4, 1.0E-4
-0.0011, 4.0E-4, 0.0090, -0.01, 1.0E-5, 1.0E-4
0.0019, 7.0E-4, 0.013, 0.011, -4.0E-5, -1.0E-4
-0.0038, -1.0E-4, 0.016, 0.032, -2.9E-4, 1.0E-4
-0.0094, -3.0E-4, 0.013, -0.01, 2.1E-4, 1.0E-4
4.0E-4, 0.0034, 0.019, 0.01, -5.0E-5, -1.0E-4
0.0057, 0.0032, -0.0030, 0.016, 1.0E-4, -2.0E-4
-0.0033, -6.0E-4, 0.0020, -0.011, 1.0E-5, 2.0E-4
0.0028, 1.0E-4, 0.01, -0.0070, 1.2E-4, -2.0E-4
-0.0044, 2.0E-4, 0.012, -0.011, 1.0E-5, 2.0E-4
-0.0040, -0.0015, 0.011, 0.0070, -9.0E-5, 3.0E-4
